Carex species,Pop,"Town, County, State",N,Latitude,Longitude,Voucher
waponahkikensis,W1,"T9 SD, Hanc., ME",1,44.62778,-68.15498,Lovit 438
waponahkikensis,W2,"Steuben, Wash., ME",2,44.54466,-67.96036,"Lovit 447, 448"
waponahkikensis,W3,"Milbridge, Wash., ME",3,44.53875,-67.88097,"Lovit 420B, 421, 422"
waponahkikensis,W4,"Harrington, Wash., ME",2,44.62201,-67.79704,"Lovit 423, 424"
waponahkikensis,W5,"Harrington, Wash., ME",3,44.55698,-67.7718,"Lovit 434, 435, 436"
waponahkikensis,W6,"Harrington, Wash., ME",1,44.57058,-67.76772,Lovit 437
waponahkikensis,W7,"Addison, Wash., ME",3,44.63099,-67.71014,"Lovit 425, 426, 427"
waponahkikensis,W8,"Beals, Wash., ME",3,44.48129,-67.59572,"Lovit 428, 429, 430"
waponahkikensis,W9,"Jonesboro, Wash., ME",3,44.64148,-67.54289,"Lovit 431, 432, 433"
waponahkikensis,W10,"Machias, Wash., ME",3,44.65262,-67.47348,"Lovit 458, 459, 460"
waponahkikensis,W11,"Marshfield, Wash., ME",2,44.73356,-67.50607,"Lovit 456, 457"
waponahkikensis,W12,"East Machias, Wash., ME",3,44.74271,-67.37911,"Lovit 444, 445, 446"
waponahkikensis,W13,"Whiting, Wash., ME",3,44.70769,-67.31565,"Lovit 461, 462, 463"
waponahkikensis,W14,"Pembroke, Wash., ME",3,44.94119,-67.21526,"Lovit 450, 451, 452"
waponahkikensis,W15,"Trescott, Wash., ME",3,44.79001,-67.16449,"Lovit 439, 440, 441"
waponahkikensis,W16,"Robbinston, Wash., ME",3,45.07499,-67.13728,"Lovit 453, 454, 455"
waponahkikensis,W17,"Lubec, Wash., ME",1,44.85298,-67.08256,Lovit 442
scoparia_ME,S1,"T9 SD, Hanc., ME",2,44.62772,-68.1552,"Lovit 482, 483"
scoparia_ME,S2,"Steuben, Wash., ME",2,44.51392,-67.96858,"Lovit 484, 485"
scoparia_ME,S3,"Milbridge, Wash., ME",3,44.53873,-67.88096,"Lovit 464, 465, 466"
scoparia_ME,S4,"Harrington, Wash., ME",3,44.57504,-67.76343,"Lovit 467, 468, 469"
scoparia_ME,S5,"Beals, Wash. , ME",3,44.48375,-67.59825,"Lovit 470, 471, 472"
scoparia_ME,S6,"Jonesboro, Wash., ME",3,44.64148,-67.54289,"Lovit 477, 478, 479"
scoparia_ME,S7,"Machias, Wash., ME",2,44.65263,-67.4735,"Lovit 480, 481"
scoparia_ME,S8,"Pembroke, Wash., ME",2,44.94119,-67.21532,"Lovit 473, 474"
scoparia_ME,S9,"Trescott, Wash., ME",2,44.79993,-67.1416,"Lovit 475, 476"
scoparia_ME,S10,"-, Hancock, ME",2,44.6275,-68.152025,"Rothrock  3489A, C"
scoparia,S11,"-, Clay, NC",1,35.0307,-83.64846,Rothrock 3316
scoparia,S12,"-, Macon, NC",1,35.052046,-83.187687,Rothrock 3319
scoparia,S13,"-, Yancy, NC",1,35.727759,-82.283272,Rothrock 3326
scoparia,S14,"-, Surry, NC",1,36.50664,-80.856401,Rothrock  3327
scoparia,S15,"-, Carroll, VA",1,36.665502,-80.697779,Rothrock  3328
scoparia,S16,"-, Augusta, VA",1,38.00975,-79.052011,Rothrock  3332
scoparia,S17,"-, Alleghany, VA",1,37.863087,-80.030607,Rothrock  3335
scoparia,S18,"-, Alleghany, VA",1,37.863087,-80.030607,Rothrock  3336
scoparia,S19,"-, Jasper, IN",1,41.157473,-86.970325,Rothrock  3355
scoparia,S20,"-, Yates, NY",1,42.645267,-77.352949,Rothrock  3466
scoparia,S21,"-, Strafford, NH",1,43.184198,-70.889683,Rothrock  3473
scoparia,S22,"-, Centre, PA",1,41.101511,-77.659223,Rothrock  3493
scoparia,S23,"-, Macoupin, IL",1,39.175594,-89.704181,Rothrock  3548
scoparia,S24,"-, Tucker, MO",1,38.950573,-91.989983,Rothrock  3555
scoparia,S25,"-, Newton, IN",1,40.95833,-87.48,Rothrock  3633
scoparia,S26,"-, Cumberland, TE",1,35.957013,-84.987427,Rothrock  3639
scoparia,S27,"-, Cumberland, TE",1,35.979903,-85.053682,Rothrock  3641
scoparia,S28,"-, Lee, VA",1,36.839953,-82.969855,Rothrock  3648
scoparia,S29,"-, Pocahontas, WV",1,38.12751,-79.97412,Rothrock  3661
tincta,T1,"St. George, Charlotte, NB",1,45.1283,-66.7952,Reznicek sn
